"No.","Time","Source","Destination","Protocol","Length","Info","rate"
"1","0.000000","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=0, FN=0, Flags=o........, BI=2304","6.0"
"2","0.000283","00:00:00_00:00:04","00:00:00_00:00:01","802.11","77","Association Request, SN=0, FN=0, Flags=o........","6.0"
"3","0.000299","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","36","Acknowledgement, Flags=o........","6.0"
"4","0.000482","00:00:00_00:00:03","00:00:00_00:00:01","802.11","77","Association Request, SN=0, FN=0, Flags=o........","6.0"
"5","0.000498","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","36","Acknowledgement, Flags=o........","6.0"
"6","0.000699","00:00:00_00:00:02","00:00:00_00:00:01","802.11","77","Association Request, SN=0, FN=0, Flags=o........","6.0"
"7","0.000715","","00:00:00_00:00:02 (00:00:00:00:00:02) (RA)","802.11","36","Acknowledgement, Flags=o........","6.0"
"8","0.000829","00:00:00_00:00:01","00:00:00_00:00:04","802.11","66","Association Response, SN=1, FN=0, Flags=o........","6.0"
"9","0.000973","","00:00:00_00:00:01 (00:00:00:00:00:01) (RA)","802.11","38","Acknowledgement, Flags=o........","6.0"
"10","0.001112","00:00:00_00:00:05","00:00:00_00:00:01","802.11","77","Association Request, SN=0, FN=0, Flags=o........","6.0"
"11","0.001128","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","36","Acknowledgement, Flags=o........","6.0"
"12","0.001269","00:00:00_00:00:01","00:00:00_00:00:03","802.11","66","Association Response, SN=2, FN=0, Flags=o........","6.0"
"13","0.001413","","00:00:00_00:00:01 (00:00:00:00:00:01) (RA)","802.11","38","Acknowledgement, Flags=o........","6.0"
"14","0.001501","00:00:00_00:00:01","00:00:00_00:00:02","802.11","66","Association Response, SN=3, FN=0, Flags=o........","6.0"
"15","0.001645","","00:00:00_00:00:01 (00:00:00:00:00:01) (RA)","802.11","38","Acknowledgement, Flags=o........","6.0"
"16","0.001742","00:00:00_00:00:01","00:00:00_00:00:05","802.11","66","Association Response, SN=4, FN=0, Flags=o........","6.0"
"17","0.001886","","00:00:00_00:00:01 (00:00:00:00:00:01) (RA)","802.11","38","Acknowledgement, Flags=o........","6.0"
"18","0.102375","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=5, FN=0, Flags=o........, BI=2304","6.0"
"19","0.204775","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=6, FN=0, Flags=o........, BI=2304","6.0"
"20","0.307175","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=7, FN=0, Flags=o........, BI=2304","6.0"
"21","0.409575","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=8, FN=0, Flags=o........, BI=2304","6.0"
"22","0.511975","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=9, FN=0, Flags=o........, BI=2304","6.0"
"23","0.614375","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=10, FN=0, Flags=o........, BI=2304","6.0"
"24","0.716775","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=11, FN=0, Flags=o........, BI=2304","6.0"
"25","0.819175","00:00:00_00:00:01","Broadcast","802.11","83","Beacon frame, SN=12, FN=0, Flags=o........, BI=2304","6.0"
