"No.","Time","Source","Destination","Protocol","Length","Info","rate"
"42","2.003508","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"44","2.004381","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"49","2.005570","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"51","2.006362","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"53","2.007100","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"58","2.008323","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"62","2.009384","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"64","2.010131","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"68","2.011102","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"70","2.011704","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"75","2.012869","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"78","2.014366","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"80","2.014905","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"82","2.015444","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"84","2.016209","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"87","2.017508","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"89","2.018065","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"92","2.019381","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"94","2.019929","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"96","2.020549","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"98","2.021187","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"100","2.021934","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"102","2.022369","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"104","2.023104","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"106","2.023914","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"108","2.024661","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"110","2.025105","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"112","2.025886","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"114","2.026642","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"116","2.028130","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"120","2.029146","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"122","2.029902","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"124","2.030694","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"126","2.031450","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"128","2.032197","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"130","2.032962","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"132","2.033397","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"134","2.034133","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"136","2.034672","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"138","2.035419","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"140","2.035908","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"142","2.036435","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"144","2.037209","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"146","2.037965","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
